dataset_id,version,raw_object_id,final_object_id,class_name_mode,start_frame,end_frame,total_frames,mean_confidence,is_kept,is_filtered,filter_type,filter_reason,fragmentation_group_id,quality_score
cao_qiao_001,moving_filtered,625,,car,7434,7434,1,0.3135,false,true,short_track_filter,track_duration_too_short,,0.3135
cao_qiao_001,moving_filtered,632,119,car,7492,7773,282,0.7426,true,false,,,,209.4080
cao_qiao_001,moving_filtered,633,120,car,7510,8050,541,0.6693,true,false,,,,362.0712
cao_qiao_001,moving_filtered,646,121,van,7584,8592,976,0.5349,true,false,,,,522.0828
cao_qiao_001,moving_filtered,648,122,car,7602,8119,518,0.7097,true,false,,,,367.6347
cao_qiao_001,moving_filtered,666,123,car,7718,8292,575,0.7584,true,false,,,,436.1081
cao_qiao_001,moving_filtered,673,124,car,7756,8100,345,0.7077,true,false,,,,244.1660
cao_qiao_001,moving_filtered,683,,car,7861,7944,81,0.5101,false,true,short_track_filter,track_duration_too_short,,41.3163
cao_qiao_001,moving_filtered,695,125,car,7930,8277,348,0.6263,true,false,,,,217.9441
cao_qiao_001,moving_filtered,701,,car,8002,8072,41,0.3250,false,true,missing_ratio_filter,missing_ratio_exceeded,,13.3245
cao_qiao_001,moving_filtered,709,126,car,7993,8634,642,0.7266,true,false,,,,466.4879
cao_qiao_001,moving_filtered,711,127,car,8041,8409,287,0.5661,true,false,,,,162.4624
cao_qiao_001,moving_filtered,713,,car,8064,8065,2,0.3218,false,true,short_track_filter,track_duration_too_short,,0.6436
cao_qiao_001,moving_filtered,718,128,car,8054,8397,344,0.7293,true,false,,,,250.8932
cao_qiao_001,moving_filtered,727,129,car,8201,8710,510,0.7581,true,false,,,,386.6440
cao_qiao_001,moving_filtered,735,131,car,8273,8709,437,0.7038,true,false,,,,307.5490
cao_qiao_001,moving_filtered,737,,car,8299,8393,35,0.3271,false,true,missing_ratio_filter,missing_ratio_exceeded,,11.4482
cao_qiao_001,moving_filtered,780,,car,8695,8696,2,0.3242,false,true,short_track_filter,track_duration_too_short,,0.6483
cao_qiao_001,moving_filtered,787,133,car,8723,9021,299,0.7376,true,false,,,,220.5560
