dataset_id,object_id,class_name,start_frame,end_frame,total_frames,mean_confidence,start_cx,start_cy,end_cx,end_cy,displacement,path_length,mean_speed,max_speed,static_ratio,is_static,filter_reason
cao_qiao_001,221,car,2426,2820,395,0.771346,278.609589,54.894371,1537.671326,2116.398376,2415.581757,2491.793394,6.324349,10.635178,0.000000,False,
cao_qiao_001,225,car,2523,2757,115,0.394206,2759.329529,1113.968567,3011.673462,655.015945,523.750866,541.072469,2.361710,4.340077,0.157895,False,
cao_qiao_001,226,truck,2533,2887,355,0.690582,2920.535034,106.556976,776.011749,68.369613,2144.863258,2293.708686,6.479403,10.420843,0.000000,False,
cao_qiao_001,227,car,2541,3145,605,0.747296,2144.640564,2119.512512,705.641144,39.733834,2529.070715,3354.761423,5.554241,9.059718,0.000000,False,
cao_qiao_001,232,car,2555,2557,3,0.308435,1460.041321,295.575775,1460.065613,295.502716,0.076992,0.082577,0.041288,0.064295,1.000000,False,
cao_qiao_001,237,van,2655,2712,11,0.330700,2723.503113,801.336243,2723.559509,801.327332,0.057096,0.678760,0.050854,0.145280,1.000000,False,
cao_qiao_001,238,car,2665,3429,765,0.707878,3042.996582,717.539978,1583.690369,2134.205627,2033.842714,3385.956949,4.431881,9.099604,0.099476,False,
cao_qiao_001,243,car,2788,3359,572,0.748789,2176.463501,2126.658081,712.837769,40.320927,2548.529577,3451.188455,6.044113,10.377453,0.000000,False,
cao_qiao_001,249,car,2854,3202,349,0.730874,2145.571411,2123.213013,3355.263672,89.414001,2366.367213,2385.514053,6.854925,11.712548,0.000000,False,
cao_qiao_001,251,car,2871,3072,198,0.482220,3134.847351,443.870972,3436.041931,92.597107,462.721842,492.590796,2.452666,5.155973,0.167513,False,
cao_qiao_001,252,car,2882,3389,508,0.721321,3019.244202,85.438416,1614.937592,2133.868225,2483.574388,3258.332563,6.426691,10.744797,0.000000,False,
cao_qiao_001,255,car,2915,3216,302,0.700502,393.278320,58.143923,1604.585815,2133.925537,2403.359140,2455.216414,8.156865,12.767448,0.000000,False,
cao_qiao_001,258,car,2975,3562,588,0.742946,2186.462708,2119.194580,657.087097,36.815499,2583.658723,3465.896120,5.904423,10.633004,0.000000,False,
cao_qiao_001,261,car,3066,3595,530,0.708381,2962.791077,78.756065,1583.257324,2130.049194,2472.026876,3207.505131,6.063337,11.280827,0.000000,False,
cao_qiao_001,263,van,3139,3139,1,0.313884,2723.451843,801.433350,2723.451843,801.433350,0.000000,0.000000,0.000000,0.000000,1.000000,False,
cao_qiao_001,266,car,3127,3941,815,0.756646,3032.773743,82.025414,1555.591431,2136.651794,2530.525074,3332.023783,4.093395,7.694148,0.001229,False,
cao_qiao_001,271,car,3174,3985,812,0.743396,3074.799561,82.309434,1628.570740,2136.823242,2512.489759,3381.625962,4.169699,11.764086,0.000000,False,
cao_qiao_001,272,car,3208,3550,343,0.774416,278.372658,61.363862,1544.803589,2133.934937,2428.867671,2483.800021,7.262573,9.517556,0.000000,False,
cao_qiao_001,276,car,3296,3657,362,0.718198,2937.168457,79.176224,730.629639,41.012673,2206.868826,2358.595388,6.533505,11.614131,0.000000,False,
cao_qiao_001,277,car,3303,3793,491,0.745670,2165.875854,2112.317993,632.359497,46.397232,2572.877962,3387.178894,6.912610,11.502012,0.000000,False,
cao_qiao_001,285,van,3556,3559,4,0.318625,2723.553711,801.435120,2723.550415,801.454620,0.019777,0.081014,0.027005,0.037530,1.000000,False,
cao_qiao_001,286,car,3507,4073,567,0.776359,369.194885,47.883850,1551.734985,2133.854004,2397.847487,2489.660562,4.398694,10.542865,0.001767,False,
cao_qiao_001,288,car,3542,3542,1,0.303914,1460.239594,295.358917,1460.239594,295.358917,0.000000,0.000000,0.000000,0.000000,1.000000,False,
cao_qiao_001,301,car,3722,4393,672,0.716435,2138.112793,2120.512573,671.870361,40.437263,2544.912605,3390.183370,5.052434,10.490539,0.004471,False,
cao_qiao_001,302,car,3724,4218,495,0.727148,263.748657,47.594154,1534.496277,2126.998657,2436.949445,2519.126278,5.099446,11.294009,0.000000,False,
cao_qiao_001,303,car,3742,4069,132,0.446246,1888.964396,1728.693370,2864.602051,882.081085,1291.751212,1399.257243,4.312517,9.044246,0.015267,False,
cao_qiao_001,305,car,3745,4141,397,0.718997,407.557434,57.172065,1607.995819,2133.342896,2398.236359,2466.765080,6.229205,9.109909,0.002525,False,
