dataset_id,frame_id,timestamp,width,height,num_objects,output_frame
cao_qiao_001,159,5.305305,3840,2160,9,159
cao_qiao_001,160,5.338672,3840,2160,10,160
cao_qiao_001,161,5.372039,3840,2160,10,161
cao_qiao_001,162,5.405405,3840,2160,9,162
cao_qiao_001,163,5.438772,3840,2160,8,163
cao_qiao_001,164,5.472139,3840,2160,8,164
cao_qiao_001,165,5.505506,3840,2160,9,165
cao_qiao_001,166,5.538872,3840,2160,8,166
cao_qiao_001,167,5.572239,3840,2160,9,167
cao_qiao_001,168,5.605606,3840,2160,10,168
cao_qiao_001,169,5.638972,3840,2160,9,169
cao_qiao_001,170,5.672339,3840,2160,9,170
cao_qiao_001,171,5.705706,3840,2160,8,171
cao_qiao_001,172,5.739072,3840,2160,8,172
cao_qiao_001,173,5.772439,3840,2160,8,173
cao_qiao_001,174,5.805806,3840,2160,9,174
cao_qiao_001,175,5.839173,3840,2160,9,175
cao_qiao_001,176,5.872539,3840,2160,9,176
cao_qiao_001,177,5.905906,3840,2160,9,177
cao_qiao_001,178,5.939273,3840,2160,9,178
cao_qiao_001,179,5.972639,3840,2160,9,179
cao_qiao_001,180,6.006006,3840,2160,10,180
cao_qiao_001,181,6.039373,3840,2160,9,181
cao_qiao_001,182,6.072739,3840,2160,10,182
cao_qiao_001,183,6.106106,3840,2160,10,183
cao_qiao_001,184,6.139473,3840,2160,9,184
cao_qiao_001,185,6.172840,3840,2160,11,185
cao_qiao_001,186,6.206206,3840,2160,10,186
cao_qiao_001,187,6.239573,3840,2160,10,187
cao_qiao_001,188,6.272940,3840,2160,9,188
cao_qiao_001,189,6.306306,3840,2160,8,189
cao_qiao_001,190,6.339673,3840,2160,8,190
cao_qiao_001,191,6.373040,3840,2160,8,191
cao_qiao_001,192,6.406406,3840,2160,9,192
cao_qiao_001,193,6.439773,3840,2160,9,193
cao_qiao_001,194,6.473140,3840,2160,9,194
cao_qiao_001,195,6.506507,3840,2160,9,195
cao_qiao_001,196,6.539873,3840,2160,9,196
cao_qiao_001,197,6.573240,3840,2160,11,197
cao_qiao_001,198,6.606607,3840,2160,11,198
cao_qiao_001,199,6.639973,3840,2160,10,199
cao_qiao_001,200,6.673340,3840,2160,10,200
cao_qiao_001,201,6.706707,3840,2160,9,201
cao_qiao_001,202,6.740073,3840,2160,9,202
cao_qiao_001,203,6.773440,3840,2160,9,203
cao_qiao_001,204,6.806807,3840,2160,9,204
cao_qiao_001,205,6.840174,3840,2160,10,205
cao_qiao_001,206,6.873540,3840,2160,9,206
cao_qiao_001,207,6.906907,3840,2160,8,207
