recordingId,trackId,raw_object_id,initialFrame,finalFrame,numFrames,startXCenter,startYCenter,endXCenter,endYCenter,startLaneId,endLaneId,width,length,raw_mean_width,raw_mean_height,corrected_width,corrected_height,box_orientation_source,missing_ratio,class
001,1,1,0,955,956,-63.0151,45.5397,65.2335,48.5664,5,13,1.4917,3.2434,1.4917,3.2434,1.4917,3.2434,heading_corrected_from_hbb,0.0000,car
001,2,2,0,575,576,46.6392,45.5846,-40.8647,6.6118,7,3,1.5574,3.4445,1.5574,3.4445,1.5574,3.4445,heading_corrected_from_hbb,0.0000,car
001,3,3,0,9021,9022,-40.9838,35.9804,-41.2742,35.9863,9,9,1.5690,3.4820,1.5690,3.4820,1.5690,3.4820,heading_corrected_from_hbb,0.0000,car
001,4,4,0,206,207,-33.8544,-1.4084,-15.3883,-44.0893,2,4,1.5077,3.4732,1.5077,3.4732,1.5077,3.4732,heading_corrected_from_hbb,0.0000,car
001,5,5,0,9021,9022,29.0550,41.1738,28.7427,41.3090,6,-1,1.1332,3.4074,1.1332,3.4074,1.1332,3.4074,heading_corrected_from_hbb,0.0012,car
001,6,8,0,259,260,33.4441,-4.6921,68.3532,48.4717,2,12,1.5104,3.3875,1.5104,3.3875,1.5104,3.3875,heading_corrected_from_hbb,0.0000,car
001,7,10,0,465,466,-32.3241,-11.0193,-53.5121,40.9778,3,5,1.0872,2.4265,1.0872,2.4265,1.0872,2.4265,heading_corrected_from_hbb,0.0064,car
001,8,11,0,9021,9022,-26.4932,29.3500,-26.8679,29.3627,9,9,1.2645,2.9562,1.2645,2.9562,1.2645,2.9562,heading_corrected_from_hbb,0.0000,car
001,9,12,0,266,267,21.9803,35.4075,-49.7835,47.0341,7,-1,2.1475,8.8791,2.1475,8.8791,2.1475,8.8791,heading_corrected_from_hbb,0.0000,truck
001,10,13,0,9021,9022,-10.6184,-32.8008,-11.0005,-32.4282,2,2,1.7878,4.8335,1.7878,4.8335,1.7878,4.8335,heading_corrected_from_hbb,0.0000,van
001,11,14,0,9021,9022,-30.7167,31.3661,-31.0390,31.3574,9,9,1.5851,4.2326,1.5851,4.2326,1.5851,4.2326,heading_corrected_from_hbb,0.0000,car
001,12,15,0,9021,9022,-25.2047,-31.3718,-25.5295,-30.8817,3,3,1.2252,2.5462,1.2252,2.5462,1.2252,2.5462,heading_corrected_from_hbb,0.0000,car
001,13,16,0,5635,5636,57.2135,30.2540,64.9396,45.5820,11,12,1.5120,3.4503,1.5120,3.4503,1.5120,3.4503,heading_corrected_from_hbb,0.0000,car
001,14,17,0,5779,5780,-41.4628,29.0743,-41.4815,29.0746,-1,-1,1.1373,2.9173,1.1373,2.9173,1.1373,2.9173,heading_corrected_from_hbb,0.0170,car
001,15,18,0,5673,5674,-27.0527,-27.3694,-27.2974,-26.9675,3,3,1.1412,2.2098,1.1412,2.2098,1.1412,2.2098,heading_corrected_from_hbb,0.0160,car
001,16,19,0,694,695,17.2200,-43.7604,16.8608,-44.0611,11,11,1.2888,2.4818,1.2888,2.4818,1.2888,2.4818,heading_corrected_from_hbb,0.0547,car
001,17,100022,0,517,518,37.2098,41.1860,-16.4920,-39.1458,7,4,0.8341,1.3608,0.8341,1.3608,0.8341,1.3608,heading_corrected_from_hbb,0.1429,motor
001,18,100023,0,92,93,-27.1730,34.4665,-16.9009,35.0379,-1,6,0.7085,0.7705,0.7085,0.7705,0.7085,0.7705,heading_corrected_from_hbb,0.0000,people
001,19,31,32,687,656,49.2125,47.9505,-12.8960,-44.3323,7,8,1.5474,3.5282,1.5474,3.5282,1.5474,3.5282,heading_corrected_from_hbb,0.0000,car
001,20,100045,305,576,272,-17.7919,-24.7967,-17.8760,-24.8118,2,2,1.3453,1.3453,0.8632,1.3453,1.3453,1.3453,heading_corrected_from_hbb,0.3309,pedestrian
001,21,100052,340,649,310,37.4159,0.2461,68.5148,46.9515,12,12,1.0184,1.3046,1.0184,1.3046,1.0184,1.3046,heading_corrected_from_hbb,0.2355,motor
001,22,57,363,1692,1330,-72.5772,48.9454,63.7129,47.4240,-1,13,1.5360,3.2258,1.5360,3.2258,1.5360,3.2258,heading_corrected_from_hbb,0.0000,car
001,23,100060,421,633,213,52.0177,26.3139,68.4549,49.4356,12,12,1.1336,1.3077,1.1336,1.3077,1.1336,1.3077,heading_corrected_from_hbb,0.2817,motor
001,24,72,547,884,338,-71.4065,47.9225,-16.3201,-44.2842,-1,4,1.6047,3.9801,1.6047,3.9801,1.6047,3.9801,heading_corrected_from_hbb,0.0000,car
001,25,74,557,1021,465,-66.9223,47.7852,-13.3185,-44.3199,5,8,1.3035,3.5186,1.3035,3.5186,1.3035,3.5186,heading_corrected_from_hbb,0.0000,car
001,26,100077,574,1559,986,-75.0448,48.5146,-18.3718,-43.9941,3,4,1.1329,1.7352,1.1329,1.7352,1.1329,1.7352,heading_corrected_from_hbb,0.0659,motor
